;;2 COLUMNAS;;;;;;;;;;;;;;;;;
Punti di appoggio Cascos;;C-2.32ECO;C2.32CONFORT;C2.32SyncECO;C2.32SyncCONFORT;C-3.5 B.TRIP;C-3,5 XL BASE A 3M;C3,5Sync  BR. TRIPLE;C3,5Sync XL 3M;C-4;C-4 XL BASE A 3M;C-4 Sync;C4Sync XL 3M;C-5WAGON;C5SyncWAGON 3M;C-5,5 BRAZOS BAJOS;C5,5 BRAZOS VW;C5,5Sync BR. VW 3M;C5,5SynC Br. Bajos 3M
MARCA;MODELO;C-2.32ECO13120E;C2.32CONFORT13120C;C2.32SyncECO 13120SE;C2.32SyncCONFORT 13120SC;C-3.5 B.TRIP C-3.5 B.TRIP 13168;C-3,5 XL BASE A 3M 13191;C3,5Sync  BR. TRIPLE 13169;C3,5Sync XL 3M 13192;C-4 13194;C-4 XL BASE A 3M 13198;C-4 Sync 13194S;C4Sync XL 3M 13198S;C-5WAGON 13176;C5SyncWAGON 3M 13177;C-5,5 BRAZOS BAJOS 13998;C5,5 BRAZOS VW 13998VW;C5,5Sync BR. VW 3M 13998SVW;C5,5SynC Br. Bajos 3M 13998S
MERCEDES;SMART FOR TWO INTERM.;JUSTO;JUSTO;JUSTO;JUSTO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
MERCEDES;SMART FOR TWO 2015;JUSTO;SI;JUSTO;SI;JUSTO;NO;JUSTO;NO;SI;NO;SI;NO;NO;NO;NO;NO;NO;NO
MERCEDES;SMART FOR TWO ANT.;SI;SI;SI;SI;JUSTO;NO;JUSTO;NO;JUSTO;NO;JUSTO;NO;NO;NO;NO;NO;NO;NO
RENAULT;CLIO GRAN TOUR;SI;SI;SI;SI;SI;JUSTO;SI;JUSTO;SI;JUSTO;SI;JUSTO;NO;NO;NO;NO;NO;NO
RENAULT;MODUS;SI;SI;SI;SI;SI;JUSTO;SI;JUSTO;SI;JUSTO;SI;JUSTO;NO;NO;NO;NO;NO;NO
RENAULT;CLIO NUEVO;SI;SI;SI;SI;SI;JUSTO;SI;JUSTO;SI;JUSTO;SI;JUSTO;NO;NO;NO;NO;NO;NO
TOYOTA;IQ;SI;SI;SI;SI;SI;JUSTO;SI;JUSTO;SI;JUSTO;SI;JUSTO;NO;NO;NO;NO;NO;NO
LANCIA;YPSILON;SI;SI;SI;SI;SI;JUSTO;SI;JUSTO;SI;JUSTO;SI;JUSTO;NO;NO;NO;NO;NO;NO
FIAT;PUNTO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;NO;NO;NO
RENAULT;MEGANE CORTO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;NO;NO;NO
TATA;INDIGO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;NO;NO;NO
LANCIA;MUSA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;NO;NO;NO
MAZDA;2;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;NO;NO;NO
RENAULT;MEGANE;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;NO;NO;NO
RENAULT;MEGANE SPORT TOURER;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;NO;NO;NO
NISSAN;MICRA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;NO;NO;NO
NISSAN;QASHQAI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;NO;NO;NO
TOYOTA;RAV 4;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;NO;NO;NO
MERCEDES;COOPER D;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;NO;NO;NO
OPEL;CORSA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;NO;NO;NO
ROVER;MINI CLUBMAN;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;NO;NO;NO
BMW;X3;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;NO;NO;NO
LANCIA;DELTA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;NO;NO;NO
MAZDA;CX-7;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;NO;NO;NO
